,models,ta_avg,ta_max,tl_avg,tl_min,va_avg,va_max,vl_avg,vl_min
0,"['Xception', 'DenseNet169']",0.9474419593811035,0.9562186598777771,0.18636786043643952,0.1529751569032669,0.8775192379951477,0.8860078454017639,0.4033538162708282,0.3727162182331085
1,"['Xception', 'DenseNet169', 'InceptionResNetV2']",0.9577138662338257,0.9685742259025574,0.1302321583032608,0.09632392227649689,0.9046171069145202,0.9110024571418762,0.3306997358798981,0.30646368861198425
2,"['Xception', 'DenseNet169', 'InceptionResNetV2', 'MobileNet']",0.9746867299079895,0.9877720475196838,0.07447166964411736,0.036045268177986145,0.9031497716903687,0.9085127115249634,0.37382676601409914,0.3230169117450714
3,"['Xception', 'DenseNet169', 'InceptionResNetV2', 'MobileNet', 'InceptionV3']",0.9753224372863769,0.9913181662559509,0.07442035041749477,0.023983145132660866,0.9099977970123291,0.9124265909194946,0.3572567403316498,0.31325826048851013
4,"['Xception', 'DenseNet169', 'InceptionResNetV2', 'MobileNet', 'InceptionV3', 'RestNet50']",0.9877468466758728,0.9924187064170837,0.033722863718867305,0.02226300723850727,0.9040302753448486,0.9085127115249634,0.44972354769706724,0.4249681532382965
