,option,models,ta_avg,ta_max,tl_avg,tl_min,va_avg,va_max,vl_avg,vl_min
0,"[0, 1, 2]","['Xception', 'DenseNet169', 'InceptionResNetV2']",0.9594990968704223,0.9716277122497559,0.12317671626806259,0.0831579640507698,0.9031498312950135,0.908023476600647,0.33102607131004336,0.31508558988571167
1,"[0, 1, 3]","['Xception', 'DenseNet169', 'MobileNet']",0.9672029256820679,0.9811689853668213,0.11268140375614166,0.06463071703910828,0.8807471394538879,0.890900194644928,0.4006302773952484,0.37885725498199463
2,"[0, 1, 4]","['Xception', 'DenseNet169', 'InceptionV3']",0.9677658319473267,0.9853264689445496,0.10193651467561722,0.04352450370788574,0.8956172466278076,0.9021526575088501,0.3531400203704834,0.3235277533531189
3,"[0, 2, 3]","['Xception', 'InceptionResNetV2', 'MobileNet']",0.9597436666488648,0.9704048037528992,0.12106759250164031,0.0895276665687561,0.9019756078720093,0.9070450067520142,0.3355316460132599,0.3233500123023987
4,"[0, 2, 4]","['Xception', 'InceptionResNetV2', 'InceptionV3']",0.9595476865768433,0.970163881778717,0.11948426514863968,0.08064693957567215,0.9103891372680664,0.9119804501533508,0.3150367200374603,0.279732882976532
5,"[0, 3, 4]","['Xception', 'MobileNet', 'InceptionV3']",0.9778662204742432,0.9899731278419495,0.0686790768057108,0.030165715143084526,0.8963016033172607,0.8992172479629517,0.3842564523220062,0.340823233127594
6,"[1, 2, 3]","['DenseNet169', 'InceptionResNetV2', 'MobileNet']",0.9483470916748047,0.9677143096923828,0.1549877941608429,0.09389626979827881,0.8902360796928406,0.8977994918823242,0.38158742189407346,0.3766852617263794
7,"[1, 2, 4]","['DenseNet169', 'InceptionResNetV2', 'InceptionV3']",0.9546810388565063,0.9650281071662903,0.13393168598413469,0.10190577059984207,0.9039321780204773,0.9070904850959778,0.3368635654449463,0.30399394035339355
8,"[1, 3, 4]","['DenseNet169', 'MobileNet', 'InceptionV3']",0.9685237288475037,0.9793322682380676,0.09678052738308907,0.058258477598428726,0.8756594061851501,0.8821516036987305,0.4382638156414032,0.3918639123439789
9,"[2, 3, 4]","['InceptionResNetV2', 'MobileNet', 'InceptionV3']",0.9618963956832886,0.9759080410003662,0.111724653840065,0.07329601794481277,0.9028555750846863,0.9095354676246643,0.3526228487491608,0.3157607614994049
